,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
40,12,0.0,0.004461781753004268,12,94.0,0,1.0
41,12,0.0,0.0032281217013852004,12,94.0,0,1.0
42,12,0.0,0.004934605611057519,12,94.0,0,1.0
43,12,0.0,0.005495379767244346,12,94.0,0,1.0
44,12,0.0,0.001493883229045534,12,94.0,0,1.0
45,12,0.0,0.005402752218949702,12,94.0,0,1.0
46,12,0.0,0.004678571401592113,12,94.0,0,1.0
47,12,0.0,0.005606022303919711,12,94.0,0,1.0
48,12,0.0,0.0042509502076826244,12,94.0,0,1.0
49,12,0.0,0.005128708462043052,12,94.0,0,1.0
50,12,0.0,0.006957237807891592,12,61.0,0,2.0
51,12,0.0,0.003680246764557027,12,61.0,0,2.0
52,12,0.0,0.005156715752053342,12,61.0,0,2.0
53,12,0.0,0.004862878864953513,12,61.0,0,2.0
54,12,0.0,0.003207552015364268,12,61.0,0,2.0
55,12,0.0,0.004277740423174747,12,61.0,0,2.0
56,12,0.0,0.0043121587781767,12,61.0,0,2.0
57,12,0.0,0.004556124098102132,12,61.0,0,2.0
58,12,0.0,0.0019124021738076147,12,61.0,0,2.0
59,12,0.0,0.004478229027005343,12,61.0,0,2.0
60,12,0.0,0.004144259792724592,12,61.0,0,2.0
61,12,0.0,0.003318603705238954,12,61.0,0,2.0
62,12,0.0,0.004441824671761685,12,61.0,0,2.0
63,12,0.0,0.0037882869882177594,12,61.0,0,2.0
64,12,0.0,0.004000696521238467,12,61.0,0,2.0
65,12,0.0,0.004643077706816157,12,61.0,0,2.0
66,12,0.0,0.004656000332493804,12,61.0,0,2.0
67,12,0.0,0.00420012095390121,12,61.0,0,2.0
68,12,0.0,0.004761380455636122,12,61.0,0,2.0
69,12,0.0,0.002963916534671096,12,61.0,0,2.0
70,12,0.0,0.0038498552092972593,12,61.0,0,2.0
71,12,0.0,0.0040072406916028536,12,61.0,0,2.0
72,12,0.0,0.00509370439361434,12,61.0,0,2.0
73,12,0.0,0.004351170168974461,12,61.0,0,2.0
74,12,0.0,0.0031855949075393353,12,61.0,0,2.0
75,12,0.0,0.002425931930114311,12,61.0,0,2.0
76,12,0.0,0.0019156316619611813,12,61.0,0,2.0
77,12,0.0,0.0028124331609963305,12,61.0,0,2.0
78,12,0.0,0.0048741465056278965,12,61.0,0,2.0
79,12,0.0,0.003290195061317336,12,61.0,0,2.0
80,12,0.0,0.004980680923590497,12,61.0,0,2.0
81,12,0.0,0.004554158407329201,12,61.0,0,2.0
82,12,0.0,0.004766587432590064,12,61.0,0,2.0
83,12,0.0,0.004311195353196018,12,61.0,0,2.0
84,12,0.0,0.003465051555472054,12,61.0,0,2.0
85,12,0.0,0.005356482836114562,12,61.0,0,2.0
86,12,0.0,0.004041863693823866,12,61.0,0,2.0
87,12,0.0,0.005003009616768361,12,61.0,0,2.0
88,12,0.0,0.004022935693356988,12,61.0,0,2.0
89,12,0.0,0.003942785943801708,12,61.0,0,2.0
90,12,0.0,0.005017959513640147,12,61.0,0,2.0
91,12,0.0,0.00424574641528086,12,61.0,0,2.0
92,12,0.0,0.0036480646565861807,12,61.0,0,2.0
93,12,0.0,0.0031390779346635034,12,61.0,0,2.0
94,12,0.0,0.0034189256302776805,12,61.0,0,2.0
95,12,0.0,0.004412170288201955,12,61.0,0,2.0
96,12,0.0,0.0043165577626324,12,61.0,0,2.0
97,12,0.0,0.0042797739568180004,12,61.0,0,2.0
98,12,0.0,0.003642534527942165,12,61.0,0,2.0
99,12,0.0,0.0037667954007267745,12,61.0,0,2.0
100,12,0.0,0.003687678655056814,12,48.0,0,3.0
101,12,0.0,0.004249084000455983,12,48.0,0,3.0
102,12,0.0,0.004066552985376726,12,48.0,0,3.0
103,12,0.0,0.005475799152129146,12,48.0,0,3.0
104,12,0.0,0.004083709038395833,12,48.0,0,3.0
105,12,0.0,0.005504079143271445,12,48.0,0,3.0
106,12,0.0,0.0049335662889035126,12,48.0,0,3.0
107,12,0.0,0.003948311040917085,12,48.0,0,3.0
108,12,0.0,0.0021034553874107464,12,48.0,0,3.0
109,12,0.0,0.0014257925465079868,12,48.0,0,3.0
110,12,0.0,0.004414517501889814,12,48.0,0,3.0
