,N,p,infected,number_unvax,number_unvax_seats,ind,feet_apart
130,36,0.0,0.012103404999225797,36,148.0,0,3.0
131,36,0.0,0.008045384689239654,36,148.0,0,3.0
132,36,0.0,0.00390842522897672,36,148.0,0,3.0
133,36,0.0,0.010856777460343414,36,148.0,0,3.0
134,36,0.0,0.006690517741399726,36,148.0,0,3.0
135,36,0.0,0.007736856877095022,36,148.0,0,3.0
136,36,0.0,0.004508973628861601,36,148.0,0,3.0
137,36,0.0,0.00405155082543418,36,148.0,0,3.0
138,36,0.0,0.0046413252460539844,36,148.0,0,3.0
139,36,0.0,0.007032754853935175,36,148.0,0,3.0
140,36,0.0,0.004749691963272573,36,148.0,0,3.0
141,36,0.0,0.008584097355999742,36,148.0,0,3.0
142,36,0.0,0.005771192498546296,36,148.0,0,3.0
143,36,0.0,0.009785761947971872,36,148.0,0,3.0
144,36,0.0,0.01059871006140678,36,148.0,0,3.0
145,36,0.0,0.008781362703935147,36,148.0,0,3.0
146,36,0.0,0.008016854138860219,36,148.0,0,3.0
147,36,0.0,0.005890771164746567,36,148.0,0,3.0
148,36,0.0,0.006867652458594997,36,148.0,0,3.0
149,36,0.0,0.006797559969297873,36,148.0,0,3.0
150,36,0.0,0.008332219499891047,36,79.0,0,4.0
151,36,0.0,0.002521102690645649,36,79.0,0,4.0
152,36,0.0,0.01018757255301228,36,79.0,0,4.0
153,36,0.0,0.009388527972154503,36,79.0,0,4.0
154,36,0.0,0.010181303837915934,36,79.0,0,4.0
155,36,0.0,0.007140199074138209,36,79.0,0,4.0
156,36,0.0,0.006711583408918531,36,79.0,0,4.0
157,36,0.0,0.006163967798852088,36,79.0,0,4.0
158,36,0.0,0.007281434787784313,36,79.0,0,4.0
159,36,0.0,0.00923282117905333,36,79.0,0,4.0
160,36,0.0,0.005527995877494973,36,79.0,0,4.0
161,36,0.0,0.008692089903560407,36,79.0,0,4.0
162,36,0.0,0.0055440877742831685,36,79.0,0,4.0
163,36,0.0,0.005941123342857235,36,79.0,0,4.0
164,36,0.0,0.007088653043498261,36,79.0,0,4.0
165,36,0.0,0.01215314697717429,36,79.0,0,4.0
166,36,0.0,0.003339015107462928,36,79.0,0,4.0
167,36,0.0,0.010268405394543989,36,79.0,0,4.0
168,36,0.0,0.0053077001118821965,36,79.0,0,4.0
169,36,0.0,0.006906264376529858,36,79.0,0,4.0
170,36,0.0,0.003761229749824624,36,79.0,0,4.0
171,36,0.0,0.009280534541709295,36,79.0,0,4.0
172,36,0.0,0.009855854339672065,36,79.0,0,4.0
173,36,0.0,0.010731723984374497,36,79.0,0,4.0
174,36,0.0,0.008375504530956146,36,79.0,0,4.0
175,36,0.0,0.008823910798308687,36,79.0,0,4.0
176,36,0.0,0.009854714758552596,36,79.0,0,4.0
177,36,0.0,0.004978543793840662,36,79.0,0,4.0
178,36,0.0,0.007883342579383279,36,79.0,0,4.0
179,36,0.0,0.004567709521220209,36,79.0,0,4.0
180,36,0.0,0.006769642724147595,36,79.0,0,4.0
181,36,0.0,0.008004763011160487,36,79.0,0,4.0
182,36,0.0,0.009017528400267816,36,79.0,0,4.0
183,36,0.0,0.00833525001418789,36,79.0,0,4.0
184,36,0.0,0.008398817342163634,36,79.0,0,4.0
185,36,0.0,0.005699945119012173,36,79.0,0,4.0
186,36,0.0,0.005834826819820393,36,79.0,0,4.0
187,36,0.0,0.007687815282692467,36,79.0,0,4.0
188,36,0.0,0.004350897653796371,36,79.0,0,4.0
189,36,0.0,0.006923893474583331,36,79.0,0,4.0
